employee_id,department,role,team_size,sprint_number,project_name,experience_years,previous_kpis_count,previous_kpi_met_rate,kpi_type,unit,target_value,duration_days,work_style,pace_ratio,halfway_completion,update_frequency,pace_trend,days_remaining_pct,fell_behind,n_updates,days_since_last_update,total_output_pct,engagement_score,risk_score,consistency_score,historical_success_rate,met_target
1,Sales,consultant,3,22,Sprint 22,11.2,17,0.09,Deliver product features,features,9,100,steady,1.2291,0.5206,1.3002,2.0253,0.0789,0,12,5,1.15,1.0,0.079,0.927,0.053,1
2,Marketing,analyst,12,23,Sprint 23,8.4,7,0.45,Conduct client calls,calls,49,159,struggling,0.7653,0.02,0.1025,-0.9685,0.1582,1,7,3,0.05,0.367,0.677,0.985,0.336,0
3,Sales,developer,3,3,Sprint 3,6.0,11,0.85,Complete code reviews,reviews,138,117,slow_starter,0.9585,0.5555,0.6887,0.7633,0.0459,0,11,0,1.15,0.861,0.097,1.0,0.752,1
4,QA,engineer,10,10,Sprint 10,12.5,19,0.89,Onboard new clients,clients,20,61,strong_starter,0.7564,0.02,0.2215,-0.1335,0.4034,1,7,7,0.05,0.194,0.655,0.862,0.975,0
5,Engineering,analyst,3,13,Sprint 13,4.5,20,0.83,Deliver product features,features,10,88,slow_starter,0.7928,0.0355,0.7172,-0.7736,0.2052,1,8,13,0.112,0.483,0.657,0.869,0.908,0
6,Sales,tester,5,6,Sprint 6,7.2,8,0.99,Resolve bug reports,bugs,97,48,slow_starter,0.5706,0.2722,0.2881,-1.6658,0.4138,1,11,7,0.504,0.309,0.658,0.872,1.0,0
7,Engineering,developer,8,9,Sprint 9,1.5,18,0.88,Write documentation pages,pages,63,44,strong_starter,1.0907,0.7591,0.3,1.2541,0.1078,0,11,2,1.15,0.677,0.054,1.0,0.839,1
8,Sales,consultant,10,18,Sprint 18,4.3,18,0.43,Deploy system updates,updates,35,66,steady,0.8898,0.4698,1.3912,0.7116,0.0523,0,15,2,1.055,1.0,0.187,0.95,0.313,1
9,Engineering,engineer,4,21,Sprint 21,2.8,13,0.6,Complete code reviews,reviews,160,156,strong_starter,1.177,0.5765,1.0817,0.092,0.0,0,11,1,1.124,1.0,0.076,1.0,0.614,1
10,Engineering,consultant,3,22,Sprint 22,13.3,8,0.77,Onboard new clients,clients,19,94,strong_starter,0.7695,0.2888,0.1,-0.3792,0.3084,1,14,7,0.571,0.246,0.547,0.983,0.83,0
11,Product,tester,4,17,Sprint 17,13.7,20,0.3,Complete code reviews,reviews,146,30,struggling,0.9136,0.1636,1.0408,-1.892,0.3822,1,13,3,0.237,0.607,0.56,0.822,0.305,0
12,Marketing,engineer,11,11,Sprint 11,7.6,3,0.93,Complete code reviews,reviews,125,71,slow_starter,0.8238,0.6063,0.7674,2.0549,0.0295,0,11,3,1.15,0.909,0.254,0.877,0.945,1
13,Marketing,engineer,3,24,Sprint 24,7.5,2,0.98,Resolve bug reports,bugs,45,44,steady,1.1676,0.6495,0.6594,-1.1025,0.147,0,14,2,1.15,0.786,0.05,0.969,0.923,1
14,Marketing,designer,5,18,Sprint 18,11.5,6,0.71,Onboard new clients,clients,20,72,strong_starter,1.5851,0.6063,0.675,1.0722,0.0123,0,16,4,1.15,0.914,0.0,0.986,0.862,1
15,Sales,analyst,3,11,Sprint 11,0.8,17,0.23,Write documentation pages,pages,38,162,steady,1.0362,0.4345,0.7776,-0.5474,0.0931,0,14,2,0.863,0.884,0.228,0.974,0.448,1
16,Product,engineer,10,8,Sprint 8,4.5,15,0.21,Close support tickets,tickets,98,47,struggling,0.8689,0.1714,0.2987,0.1807,0.2687,1,9,10,0.345,0.297,0.525,0.765,0.279,0
17,QA,designer,5,4,Sprint 4,1.9,13,0.35,Process sales leads,leads,177,151,slow_starter,1.1557,0.3656,1.1389,0.7738,0.0205,0,13,2,0.731,1.0,0.156,1.0,0.434,1
18,Product,engineer,5,7,Sprint 7,3.3,14,0.14,Close support tickets,tickets,212,55,strong_starter,0.7418,0.4087,1.2551,0.9152,0.1464,0,28,3,0.949,1.0,0.313,0.93,0.201,1
19,Marketing,engineer,3,8,Sprint 8,2.9,15,0.48,Deliver product features,features,36,170,slow_starter,0.8991,0.5068,0.915,0.4401,0.3083,0,5,3,0.978,0.85,0.243,0.986,0.394,1
20,Product,designer,6,14,Sprint 14,10.6,17,0.66,Complete code reviews,reviews,127,30,strong_starter,0.5069,0.4019,0.4009,-0.1119,0.3064,1,5,18,0.827,0.267,0.686,0.367,0.728,0
21,Engineering,consultant,7,2,Sprint 2,1.2,15,0.5,Conduct client calls,calls,27,178,strong_starter,0.486,0.2828,0.7715,0.6023,0.132,0,5,5,0.567,0.957,0.441,0.909,0.573,0
22,Engineering,consultant,5,13,Sprint 13,2.2,18,0.25,Run quality tests,tests,30,77,strong_starter,1.6518,0.6845,0.5634,-0.1827,0.214,0,10,2,1.15,0.715,0.0,0.812,0.168,1
23,Product,analyst,12,23,Sprint 23,5.1,8,0.4,Deploy system updates,updates,43,174,steady,1.0343,0.3653,1.635,-1.2232,0.0604,0,13,4,0.569,1.0,0.177,0.928,0.437,1
24,Marketing,tester,3,3,Sprint 3,8.3,16,0.27,Write documentation pages,pages,69,48,slow_starter,1.1518,0.456,1.1037,-0.0738,0.1102,0,15,5,0.843,1.0,0.005,0.888,0.317,1
25,Marketing,consultant,6,20,Sprint 20,14.8,20,0.53,Conduct client calls,calls,67,102,strong_starter,1.1731,0.4528,1.0092,-0.1923,0.047,0,16,2,0.854,1.0,0.11,1.0,0.58,1
26,Engineering,consultant,10,5,Sprint 5,4.4,19,0.21,Deliver product features,features,16,97,strong_starter,0.8845,0.4616,1.3341,1.0214,0.0981,0,13,4,0.988,1.0,0.198,0.948,0.298,1
27,Engineering,engineer,12,14,Sprint 14,12.5,1,0.0,Resolve bug reports,bugs,79,155,strong_starter,1.3146,0.6539,1.5239,0.3731,0.1614,0,11,2,1.15,1.0,0.008,0.946,0.167,1
28,QA,tester,2,4,Sprint 4,1.6,4,0.55,Resolve bug reports,bugs,35,143,strong_starter,0.8384,0.37,1.4738,1.2208,0.1562,0,15,1,0.786,1.0,0.22,1.0,0.538,1
29,Product,engineer,7,7,Sprint 7,10.4,3,0.35,Complete code reviews,reviews,140,62,slow_starter,0.8854,0.495,1.2204,-0.2701,0.026,0,13,2,0.938,1.0,0.209,0.895,0.237,1
30,Sales,designer,2,6,Sprint 6,11.2,10,0.78,Process sales leads,leads,69,90,struggling,0.506,0.268,0.7133,1.2729,0.4201,1,6,7,0.554,0.458,0.703,0.938,0.714,0
31,Engineering,designer,2,16,Sprint 16,3.7,14,0.35,Conduct client calls,calls,54,70,struggling,0.8402,0.5299,0.5874,0.0919,0.3966,0,5,9,1.07,0.721,0.166,0.873,0.39,0
32,Product,engineer,6,12,Sprint 12,9.8,12,0.68,Conduct client calls,calls,23,79,steady,1.4773,0.6743,1.8121,-0.4941,0.1785,0,13,6,1.15,1.0,0.0,0.818,0.638,1
33,Product,engineer,3,20,Sprint 20,6.8,10,0.44,Close support tickets,tickets,69,96,steady,0.9026,0.5611,1.1962,2.4138,0.1855,0,10,0,1.15,0.957,0.262,1.0,0.402,1
34,QA,engineer,10,18,Sprint 18,10.5,6,0.36,Process sales leads,leads,78,95,strong_starter,0.6546,0.7295,1.0411,1.7116,0.0,1,10,2,1.15,0.694,0.55,0.926,0.349,1
35,Engineering,consultant,6,17,Sprint 17,5.0,13,0.33,Write documentation pages,pages,49,110,slow_starter,0.7325,0.3772,0.8335,-1.5871,0.0852,0,10,9,0.597,0.985,0.3,0.977,0.335,0
36,Sales,tester,11,10,Sprint 10,6.4,0,0.5,Conduct client calls,calls,73,127,strong_starter,1.2,0.5633,0.5453,0.7187,0.3904,1,11,3,1.15,0.454,0.263,0.917,0.337,0
37,QA,consultant,5,17,Sprint 17,7.4,5,0.66,Process sales leads,leads,185,112,strong_starter,1.03,0.6405,1.5908,0.4315,0.2466,0,7,0,1.15,1.0,0.094,0.897,0.653,1
38,Sales,consultant,6,8,Sprint 8,12.2,4,0.02,Process sales leads,leads,115,53,slow_starter,0.3478,0.4005,0.73,-1.3839,0.2281,1,3,7,0.738,0.474,0.766,0.841,0.0,0
39,Marketing,analyst,8,16,Sprint 16,6.3,4,0.66,Deliver product features,features,37,136,struggling,0.6711,0.1447,0.4539,-1.6677,0.5751,1,7,4,0.252,0.303,0.677,1.0,0.721,0
40,Marketing,designer,2,18,Sprint 18,4.1,3,0.46,Deliver product features,features,57,138,strong_starter,0.9621,0.4594,0.9865,-2.1821,0.0,0,18,5,0.706,1.0,0.193,1.0,0.55,1
41,QA,tester,10,14,Sprint 14,12.5,17,0.45,Run quality tests,tests,96,111,struggling,0.6655,0.1567,0.1381,-0.1262,0.1941,1,2,4,0.255,0.381,0.731,0.964,0.568,0
42,Product,tester,9,21,Sprint 21,4.0,14,0.08,Onboard new clients,clients,11,93,strong_starter,0.7209,0.1708,1.0769,0.2428,0.1548,1,6,3,0.281,0.731,0.756,0.898,0.125,0
43,Sales,analyst,8,23,Sprint 23,2.7,6,0.06,Write documentation pages,pages,67,168,strong_starter,0.9308,0.4718,0.8786,-0.6004,0.1044,0,9,2,0.884,0.908,0.141,0.959,0.12,1
44,QA,tester,2,19,Sprint 19,6.0,0,0.5,Deploy system updates,updates,9,82,strong_starter,0.8352,0.1534,0.6498,0.4765,0.0663,0,8,4,0.35,0.802,0.23,0.87,0.504,0
45,Marketing,tester,5,16,Sprint 16,3.7,13,0.49,Deploy system updates,updates,32,167,struggling,0.7701,0.1644,0.8116,-2.1777,0.2907,1,3,4,0.259,0.494,0.623,1.0,0.444,0
46,Marketing,tester,2,13,Sprint 13,9.1,0,0.5,Deploy system updates,updates,16,149,slow_starter,0.9256,0.1305,0.7789,1.2357,0.02,1,4,10,0.283,0.624,0.56,0.937,0.488,0
47,Product,analyst,9,11,Sprint 11,5.4,12,0.28,Onboard new clients,clients,8,42,steady,1.4036,0.5756,1.1948,-0.1031,0.0561,0,11,2,1.118,1.0,0.07,0.996,0.254,1
48,Engineering,developer,5,21,Sprint 21,1.5,20,0.04,Deliver product features,features,38,34,strong_starter,1.0243,0.2388,0.1,-1.4589,0.0381,1,5,8,0.492,0.345,0.508,0.806,0.0,0
49,QA,consultant,3,19,Sprint 19,14.2,14,0.7,Close support tickets,tickets,199,69,steady,1.1613,0.6479,0.5773,1.6081,0.1305,0,11,3,1.15,0.801,0.054,0.934,0.632,1
50,Engineering,tester,2,10,Sprint 10,8.8,12,0.4,Process sales leads,leads,59,71,steady,0.9242,0.1716,0.6415,-0.8754,0.3671,0,8,13,0.288,0.733,0.23,0.795,0.43,0
51,Marketing,engineer,11,2,Sprint 2,5.5,13,0.66,Conduct client calls,calls,33,107,struggling,0.9044,0.1617,0.8809,1.1412,0.3579,1,12,4,0.298,0.456,0.665,0.995,0.656,0
52,Product,consultant,9,23,Sprint 23,2.7,5,0.73,Close support tickets,tickets,147,155,steady,1.1728,0.3824,1.9116,0.4921,0.1098,0,15,2,0.814,1.0,0.14,1.0,0.838,1
53,Marketing,developer,7,8,Sprint 8,12.5,2,0.28,Run quality tests,tests,119,153,slow_starter,1.5142,0.4684,0.7435,0.2116,0.105,0,17,0,1.033,0.858,0.0,0.949,0.148,1
54,QA,developer,4,16,Sprint 16,3.6,8,0.34,Process sales leads,leads,186,127,strong_starter,1.314,0.5503,0.6414,-1.0746,0.0698,0,19,1,0.907,0.823,0.0,0.857,0.336,1
55,Sales,engineer,5,24,Sprint 24,6.4,17,0.76,Resolve bug reports,bugs,86,32,strong_starter,1.04,0.6375,1.7086,1.5892,0.0758,0,8,7,1.15,1.0,0.092,0.791,0.748,1
